MissionId,NumberOfLeads,IsMissionHybrid,CustomerId,isCustomerActive,ListType,FilterLoading,ReservationStatusUpdate,DeathStatusUpdate,DeleteInvalidUnpaid,DisableInvalidAndStoplists,UpdateCurrentPaid,AddNewUnpaid,PurchaseUnpaid,CalculateLeads,MapcloudMarkers,totalMissionTime
24472,61,False,1310,False,Privat,5,967,261,None,None,None,None,None,None,None,1233
24471,120,False,827,False,Privat,0,3181,153,None,None,None,None,None,None,None,3334
24469,43,False,1268,False,Privat,0,2839,163,None,None,None,None,None,None,None,3002
24465,1250,False,1288,False,Privat,0,585,139,None,None,None,None,None,None,None,724
24461,8846,False,1194,False,Privat,0,618,158,None,None,None,None,None,None,None,776
24460,93,False,1310,False,Privat,0,1809,161,None,None,None,None,None,None,None,1970
24457,500,False,1310,False,Privat,0,643,157,None,None,None,None,None,None,None,800
24453,162,False,82,True,Privat,0,None,197,4302,None,10017,11139,None,18,None,25673
24451,5319,False,82,True,Privat,0,None,150,843,None,13156,3445,None,40,None,17634
24450,46,False,82,True,Privat,0,None,136,795,None,100134,9144,None,22,None,110231
24447,2841,False,82,True,Privat,0,None,201,763,None,4171,3984,None,32,None,9151
24445,301,False,82,True,Privat,0,None,149,824,None,75046,10216,None,34,None,86269
24444,9904,False,436,False,Privat,0,722,164,None,None,None,None,None,None,None,886
24443,281,False,82,True,Privat,0,None,116,421,None,21307,8740,None,19,None,30603
24442,100,False,1311,False,Privat,0,478,137,None,None,None,None,None,None,None,615
24432,50,False,1194,False,Privat,0,623,253,None,None,None,None,None,None,None,876
24431,200,False,1194,False,Privat,0,644,133,None,None,None,None,None,None,None,777
24429,121,False,1310,False,Privat,0,402,149,None,None,None,None,None,None,None,551
24415,53,False,82,True,Privat,0,None,122,656,None,3185,3397,None,34,None,7394
24413,120,False,82,True,Privat,0,None,127,680,None,28110,8796,None,17,None,37730
24412,315,False,82,True,Privat,0,None,113,695,None,2653,3308,None,22,None,6791
24407,200,False,1310,False,Privat,0,522,120,None,None,None,None,None,None,None,642
24406,100,False,1310,False,Privat,0,763,170,None,None,None,None,None,None,None,933
24404,50,False,1194,False,Privat,0,441,168,None,None,None,None,None,None,None,609
24401,100,False,1310,False,Privat,0,635,416,None,None,None,None,None,None,None,1051
24397,682,False,1086,False,Privat,0,621,219,None,None,None,None,None,None,None,840
24396,906,False,1086,False,Privat,0,607,125,None,None,None,None,None,None,None,732
24395,200,False,1194,False,Privat,0,528,160,None,None,None,None,None,None,None,688
24393,200,False,1194,False,Privat,0,376,116,None,None,None,None,None,None,None,492
24391,1248,False,1288,False,Privat,0,552,116,None,None,None,None,None,None,None,668
24387,100,False,1311,False,Privat,0,618,106,None,None,None,None,None,None,None,724
24386,155,False,1194,False,Privat,0,532,116,None,None,None,None,None,None,None,648
24385,117,False,1268,False,Privat,0,450,121,None,None,None,None,None,None,None,571
24381,200,False,1194,False,Privat,0,450,114,None,None,None,None,None,None,None,564
24378,200,False,1194,False,Privat,0,586,104,None,None,None,None,None,None,None,690
24376,186,False,82,True,Privat,0,None,113,918,None,19942,9241,None,19,None,30233
24375,566,False,82,True,Privat,0,None,130,862,1929,7237,3763,48,18,None,13987
24374,1133,False,1143,False,Privat,0,489,152,None,None,None,None,None,None,None,641
24373,1035,False,1309,False,Privat,0,682,123,None,None,None,None,None,None,None,805
24363,50,False,1194,False,Privat,0,534,158,None,None,None,None,None,None,None,692
24356,171,False,979,False,Privat,0,439,175,None,None,None,None,None,None,None,614
24354,6065,False,626,False,Privat,0,683,146,None,None,None,None,None,None,None,829
24353,88,False,82,True,Privat,0,None,105,676,1064,8048,3769,16,19,None,13697
24352,7,False,82,True,Privat,0,None,111,696,None,8373,6690,None,22,None,15892
24351,125,False,82,True,Privat,0,None,214,585,None,2703,2982,None,19,None,6503
24349,1380,False,82,True,Privat,0,None,208,705,None,3324,6556,None,23,None,10816
24347,118,False,1268,False,Privat,0,648,120,None,None,None,None,None,None,None,768
24346,257,False,82,True,Privat,0,None,145,556,1315,5692,3837,28,13,None,11586
24345,500,False,1258,False,Privat,0,500,127,None,None,None,None,None,None,None,627
24341,500,False,1258,False,Privat,0,2211,165,None,None,None,None,None,None,None,2376
24337,1500,False,1258,False,Privat,0,539,155,None,None,None,None,None,None,None,694
24336,303,False,82,True,Privat,0,None,186,3254,None,57856,9434,None,23,None,70753
24334,200,False,1194,False,Privat,0,618,120,None,None,None,None,None,None,None,738
24328,106,False,1194,False,Privat,0,1448,122,None,None,None,None,None,None,None,1570
24327,851,False,82,True,Privat,0,None,120,745,None,4883,4274,None,17,None,10039
24318,98,False,1309,False,Privat,0,663,115,None,None,None,None,None,None,None,778
24316,200,False,1194,False,Privat,0,608,127,None,None,None,None,None,None,None,735
